patient_priority,food_name_en,food_name_hi,category,meal_slots,reference_portion,source_food_name,source_category,calories_per_100g,data_status,nutrition_source,source_note,verified_protein_g_100g,verified_carbs_g_100g,verified_fat_g_100g,verified_fibre_g_100g,verified_sodium_mg_100g
high,Soybeans,सोयाबीन,protein,"lunch,dinner",100g,Soybeans,Legumes,147.0,source_value_available,Uploaded Kaggle base dataset,Source row/category: Legumes; duplicate variants in raw dataset: 1,13,11,6.8,4.2,1
high,Roasted Soybeans,भुना सोयाबीन,snack,snack,30g,Roasted Soybeans,Legumes,471.0,source_value_available,Uploaded Kaggle base dataset,Source row/category: Legumes; duplicate variants in raw dataset: 1,40,33,22,9,2
high,Coffee,कॉफी,beverage,"morning,evening",1 cup prepared,Coffee,Non-AlcoholicDrinks&Beverages,1.0,source_value_available,Uploaded Kaggle base dataset,Source row/category: Non-AlcoholicDrinks&Beverages; duplicate variants in raw dataset: 1,0.1,0,0,0,2
high,Tea,चाय,beverage,"morning,evening",1 cup prepared,Tea,Non-AlcoholicDrinks&Beverages,64.0,source_value_available,Uploaded Kaggle base dataset,Source row/category: Non-AlcoholicDrinks&Beverages; duplicate variants in raw dataset: 1,2.0,6.0,3.0,0,22
high,Wheat Roti,गेहूं की रोटी,indian_preparation,"breakfast,lunch,dinner",1 small / 1 standard / 1 large,Wheat Roti,IndianPrep,260.0,source_value_available,National Institute of Nutrition (India),Cooked flatbread,8,50,2,7,5
high,Moong Dal (cooked),मूंग दाल,indian_preparation,"lunch,dinner",1 katori cooked,Moong Dal,IndianPrep,100.0,source_value_available,National Institute of Nutrition (India),Standard Moong Dal cooked recipe,7,15,2,4,150
high,Toor Dal (cooked),अरहर दाल,indian_preparation,"lunch,dinner",1 katori cooked,Toor Dal,IndianPrep,110.0,source_value_available,National Institute of Nutrition (India),Standard Toor Dal cooked recipe,6,16,3,5,250
high,Chana Dal (cooked),चना दाल,indian_preparation,"lunch,dinner",1 katori cooked,Chana Dal,IndianPrep,120.0,source_value_available,National Institute of Nutrition (India),Standard Chana Dal cooked recipe,7,17,3,6,200
high,Bhindi Sabzi (low oil),भिंडी की सब्जी,indian_preparation,"lunch,dinner",1 katori,Bhindi Sabzi,IndianPrep,65.0,source_value_available,National Institute of Nutrition (India),Low oil bhindi sabzi,2,7,3,3.2,120
high,Lauki Sabzi (low oil),लौकी की सब्जी,indian_preparation,"lunch,dinner",1 katori,Lauki Sabzi,IndianPrep,45.0,source_value_available,National Institute of Nutrition (India),Low oil cooked lauki sabzi,1,5,2,2.5,90
high,Mixed Vegetable (low oil),मिक्स सब्जी,indian_preparation,"lunch,dinner",1 katori,Mixed Vegetable,IndianPrep,75.0,source_value_available,National Institute of Nutrition (India),Cooked mixed vegetables with low oil,2,10,3,3,150
high,"Tea with Milk, No Added Sugar","दूध वाली चाय, बिना चीनी",beverage,"morning,evening",1 cup,Tea with Milk,IndianPrep,68.0,source_value_available,National Institute of Nutrition (India),Tea with milk and no added sugar,2.2,6.5,3.2,0,25
high,Makhana (roasted),भुना मखाना,snack,evening,20g,Makhana,IndianPrep,350.0,source_value_available,National Institute of Nutrition (India),Dry roasted lotus seeds,9,77,0.5,7,1
high,Plain Khichdi (low oil),सादी खिचड़ी,indian_preparation,dinner,1 katori,Plain Khichdi,IndianPrep,85.0,source_value_available,National Institute of Nutrition (India),Cooked rice and lentil khichdi with low oil,3,16,1,2.5,180
high,Chana Sattu,चना सत्तू,legume,morning,3 tbsp (~30g),Chana Sattu,Legumes,370.0,source_value_available,National Institute of Nutrition (India),Sattu dry powder,20,56,5,10,10
high,Aloo Bhujia,आलू भुजिया,junk_food,snack,30g,Aloo Bhujia,FastFood,580.0,source_value_available,Commercial nutrition info,Deep fried snack,6,42,42,4,700
high,Gatte ki Sabzi,गट्टे की सब्जी,indian_preparation,"lunch,dinner",1 katori (~150g),Gatte ki Sabzi,IndianPrep,115.0,source_value_available,National Institute of Nutrition (India),Gram flour dumplings in curry,7,12,5,3,300
high,Poha,पोहा,indian_preparation,breakfast,1 medium bowl (~150g),Poha,IndianPrep,170.0,source_value_available,National Institute of Nutrition (India),Cooked flattened rice,3,32,3,1.5,150
high,Upma,उपमा,indian_preparation,breakfast,1 medium bowl (~150g),Upma,IndianPrep,150.0,source_value_available,National Institute of Nutrition (India),Cooked semolina prep,4,28,3,1.8,180
high,Idli,इडली,indian_preparation,breakfast,1 piece (~40g),Idli,IndianPrep,110.0,source_value_available,National Institute of Nutrition (India),Steamed rice cakes,2.5,23,0.5,1,120
high,Sambar,सांबर,indian_preparation,"breakfast,lunch,dinner",1 katori (~150g),Sambar,IndianPrep,50.0,source_value_available,National Institute of Nutrition (India),Lentil vegetable soup,2,8,1.5,2,220
high,Coconut Chutney,नारियल की चटनी,indian_preparation,"breakfast,lunch",2 tbsp (~30g),Coconut Chutney,IndianPrep,200.0,source_value_available,National Institute of Nutrition (India),Coconut paste condiment,2,6,18,3.5,150
high,Plain Dosa,सादा डोसा,indian_preparation,"breakfast,dinner",1 piece (~60g),Plain Dosa,IndianPrep,220.0,source_value_available,National Institute of Nutrition (India),Rice crepe plain,3.5,45,2,2,250
high,Masala Dosa,मसाला डोसा,indian_preparation,"breakfast,dinner",1 piece (~150g),Masala Dosa,IndianPrep,200.0,source_value_available,National Institute of Nutrition (India),Rice crepe with potato filling,4,38,3.5,3,350
high,Paneer Bhurji (low oil),पनीर भुर्जी,indian_preparation,"breakfast,lunch,dinner",1 katori (~150g),Paneer Bhurji,IndianPrep,140.0,source_value_available,National Institute of Nutrition (India),Scrambled cottage cheese,12,6,8,1,280
high,Cucumber Raita,खीरे का रायता,dairy,"lunch,dinner",1 katori (~150g),Cucumber Raita,IndianPrep,50.0,source_value_available,National Institute of Nutrition (India),Yogurt with grated cucumber,3,4,2,0.5,90
high,Boondi Raita,बूंदी का रायता,dairy,"lunch,dinner",1 katori (~150g),Boondi Raita,IndianPrep,85.0,source_value_available,National Institute of Nutrition (India),Yogurt with fried chickpea drops,3.5,7,4.5,0.5,150
high,Aloo ki Bhujia (dry sabzi),आलू की भुजिया (सब्जी),indian_preparation,"lunch,dinner",1 katori (~150g),Aloo ki Bhujia,IndianPrep,125.0,source_value_available,National Institute of Nutrition (India),Cooked dry spiced potatoes,2,16,6,2,190
high,Oats Khichdi,ओट्स खिचड़ी,indian_preparation,dinner,1 katori (~200g),Oats Khichdi,IndianPrep,60.0,source_value_available,National Institute of Nutrition (India),Cooked oats with vegetables,2,10,1,2,140
high,Baingan Bharta,बैंगन का भर्ता,indian_preparation,"lunch,dinner",1 katori (~150g),Baingan Bharta,IndianPrep,65.0,source_value_available,National Institute of Nutrition (India),Roasted mashed eggplant prep,1.5,8,3,2.5,130
high,Palak Paneer (low oil),पालक पनीर,indian_preparation,"lunch,dinner",1 katori (~150g),Palak Paneer,IndianPrep,100.0,source_value_available,National Institute of Nutrition (India),Spinach and cottage cheese curry,6,4,6,2.2,210
high,Jeera Rice,जीरा राइस,grain,"lunch,dinner",1 katori (~150g),Jeera Rice,IndianPrep,120.0,source_value_available,National Institute of Nutrition (India),Cooked cumin rice,2,25,1.5,0.8,80
high,Plain Paratha,सादा पराठा,indian_preparation,breakfast,1 piece (~50g),Plain Paratha,IndianPrep,340.0,source_value_available,National Institute of Nutrition (India),Tawa fried flatbread,5,48,14,4.5,180
high,Aloo Paratha,आलू पराठा,indian_preparation,breakfast,1 piece (~100g),Aloo Paratha,IndianPrep,270.0,source_value_available,National Institute of Nutrition (India),Potato stuffed flatbread,4.5,42,9,4,290
high,Puri,पूरी,indian_preparation,breakfast,1 piece (~30g),Puri,IndianPrep,350.0,source_value_available,National Institute of Nutrition (India),Deep fried puffed flatbread,6,46,15,4,120
high,Okra (Bhindi),भिंडी,vegetable,"lunch,dinner",1 cup chopped (~100g),Okra,Vegetables,33,source_value_available,India regional nutrition reference (NIN/IFCT-aligned),Expanded regional coverage pass: Vegetables,1.9,7.5,0.2,3.2,7
high,Brinjal (Baingan),बैंगन,vegetable,"lunch,dinner",1 cup chopped (~100g),Brinjal,Vegetables,25,source_value_available,India regional nutrition reference (NIN/IFCT-aligned),Expanded regional coverage pass: Vegetables,1.0,6.0,0.2,3.0,2
medium,Bitter Gourd (Karela),करेला,vegetable,"lunch,dinner",1 cup chopped (~100g),Bitter Gourd,Vegetables,17,source_value_available,India regional nutrition reference (NIN/IFCT-aligned),Expanded regional coverage pass: Vegetables,1.0,3.7,0.2,2.6,6
high,Bottle Gourd (Lauki),लौकी,vegetable,"lunch,dinner",1 cup chopped (~100g),Bottle Gourd,Vegetables,14,source_value_available,India regional nutrition reference (NIN/IFCT-aligned),Expanded regional coverage pass: Vegetables,0.6,3.4,0.1,1.2,2
medium,Apple Gourd (Tinda),टिंडा,vegetable,"lunch,dinner",1 cup chopped (~100g),Tinda,Vegetables,17,source_value_available,India regional nutrition reference (NIN/IFCT-aligned),Expanded regional coverage pass: Vegetables,0.6,3.2,0.1,1.4,3
medium,Pointed Gourd (Parwal),परवल,vegetable,"lunch,dinner",1 cup chopped (~100g),Parwal,Vegetables,20,source_value_available,India regional nutrition reference (NIN/IFCT-aligned),Expanded regional coverage pass: Vegetables,1.5,4.0,0.2,2.8,3
medium,Ivy Gourd (Tindora),कुंदरू,vegetable,"lunch,dinner",1 cup chopped (~100g),Tindora,Vegetables,18,source_value_available,India regional nutrition reference (NIN/IFCT-aligned),Expanded regional coverage pass: Vegetables,1.2,3.4,0.2,2.0,2
medium,Ridge Gourd (Tori),तोरई,vegetable,"lunch,dinner",1 cup chopped (~100g),Ridge Gourd,Vegetables,17,source_value_available,India regional nutrition reference (NIN/IFCT-aligned),Expanded regional coverage pass: Vegetables,0.5,3.4,0.1,1.1,3
medium,Snake Gourd (Chichinda),चिचिंडा,vegetable,"lunch,dinner",1 cup chopped (~100g),Snake Gourd,Vegetables,18,source_value_available,India regional nutrition reference (NIN/IFCT-aligned),Expanded regional coverage pass: Vegetables,0.5,3.3,0.1,1.2,4
medium,"Colocasia Root (Arbi, boiled)",अरबी,vegetable,"lunch,dinner",1 cup (~100g),Arbi,Vegetables,112,source_value_available,India regional nutrition reference (NIN/IFCT-aligned),Expanded regional coverage pass: Vegetables,1.5,26.5,0.2,4.1,11
medium,"Elephant Yam (Suran, boiled)",सूरन,vegetable,"lunch,dinner",1 cup (~100g),Suran,Vegetables,118,source_value_available,India regional nutrition reference (NIN/IFCT-aligned),Expanded regional coverage pass: Vegetables,1.5,27.9,0.2,4.1,9
high,Capsicum (Shimla Mirch),शिमला मिर्च,salad_vegetable,all_meals,1 cup chopped (~100g),Capsicum,Vegetables,20,source_value_available,India regional nutrition reference (NIN/IFCT-aligned),Expanded regional coverage pass: Vegetables,0.9,4.6,0.2,1.7,3
high,"Green Peas (Matar, boiled)",हरी मटर,vegetable,"lunch,dinner",1 cup (~100g),Green Peas,Vegetables,84,source_value_available,India regional nutrition reference (NIN/IFCT-aligned),Expanded regional coverage pass: Vegetables,5.4,14.0,0.4,5.5,3
high,French Beans,फ्रेंच बीन्स,vegetable,"lunch,dinner",1 cup chopped (~100g),French Beans,Vegetables,31,source_value_available,India regional nutrition reference (NIN/IFCT-aligned),Expanded regional coverage pass: Vegetables,1.8,7.0,0.2,3.4,6
medium,Cluster Beans (Gawar),ग्वार फली,vegetable,"lunch,dinner",1 cup chopped (~100g),Cluster Beans,Vegetables,33,source_value_available,India regional nutrition reference (NIN/IFCT-aligned),Expanded regional coverage pass: Vegetables,3.2,7.1,0.2,4.6,6
medium,Broad Beans (Sem),सेम की फली,vegetable,"lunch,dinner",1 cup chopped (~100g),Broad Beans,Vegetables,72,source_value_available,India regional nutrition reference (NIN/IFCT-aligned),Expanded regional coverage pass: Vegetables,6.0,12.0,0.4,5.0,33
high,"Pumpkin (Kaddu, cooked)",कद्दू,vegetable,"lunch,dinner",1 cup (~100g),Pumpkin,Vegetables,26,source_value_available,India regional nutrition reference (NIN/IFCT-aligned),Expanded regional coverage pass: Vegetables,1.0,6.5,0.1,2.0,1
high,Fenugreek Leaves (Methi),मेथी के पत्ते,salad_vegetable,"lunch,dinner",1 cup chopped (~100g),Fenugreek Leaves,Vegetables,35,source_value_available,India regional nutrition reference (NIN/IFCT-aligned),Expanded regional coverage pass: Vegetables,4.4,6.0,0.6,3.9,76
high,"Mustard Greens (Sarson Saag, cooked)",सरसों का साग,vegetable,"lunch,dinner",1 cup (~100g),Mustard Greens,Vegetables,60,source_value_available,India regional nutrition reference (NIN/IFCT-aligned),Expanded regional coverage pass: Vegetables,3.0,5.5,3.0,3.2,45
medium,Bathua Leaves,बथुआ,vegetable,"lunch,dinner",1 cup chopped (~100g),Bathua,Vegetables,30,source_value_available,India regional nutrition reference (NIN/IFCT-aligned),Expanded regional coverage pass: Vegetables,3.7,4.2,0.4,2.9,45
medium,Amaranth Leaves (Chaulai),चौलाई,vegetable,"lunch,dinner",1 cup chopped (~100g),Amaranth Leaves,Vegetables,45,source_value_available,India regional nutrition reference (NIN/IFCT-aligned),Expanded regional coverage pass: Vegetables,4.0,6.1,0.5,3.9,20
medium,Drumstick (Moringa/Sahjan),सहजन,vegetable,"lunch,dinner",1 cup chopped (~100g),Drumstick,Vegetables,37,source_value_available,India regional nutrition reference (NIN/IFCT-aligned),Expanded regional coverage pass: Vegetables,2.5,8.5,0.1,4.8,42
medium,Dill Leaves (Suva Bhaji),सोया भाजी,vegetable,"lunch,dinner",1 cup chopped (~100g),Dill Leaves,Vegetables,40,source_value_available,India regional nutrition reference (NIN/IFCT-aligned),Expanded regional coverage pass: Vegetables,3.3,6.3,1.1,3.0,60
medium,"Jackfruit Vegetable (Kathal, cooked)",कटहल,vegetable,"lunch,dinner",1 cup (~100g),Jackfruit,Vegetables,95,source_value_available,India regional nutrition reference (NIN/IFCT-aligned),Expanded regional coverage pass: Vegetables,1.7,23.2,0.3,1.5,2
high,Beetroot (boiled),चुकंदर,salad_vegetable,all_meals,1 cup (~100g),Beetroot,Vegetables,44,source_value_available,India regional nutrition reference (NIN/IFCT-aligned),Expanded regional coverage pass: Vegetables,1.7,10.0,0.2,2.8,78
high,Turnip (Shalgam),शलगम,vegetable,"lunch,dinner",1 cup chopped (~100g),Turnip,Vegetables,21,source_value_available,India regional nutrition reference (NIN/IFCT-aligned),Expanded regional coverage pass: Vegetables,0.7,5.0,0.1,1.8,47
high,Radish (Mooli),मूली,salad_vegetable,all_meals,1 cup chopped (~100g),Radish,Vegetables,16,source_value_available,India regional nutrition reference (NIN/IFCT-aligned),Expanded regional coverage pass: Vegetables,0.8,3.4,0.1,1.6,24
medium,"Raw Banana (Kaccha Kela, boiled)",कच्चा केला,vegetable,"lunch,dinner",1 cup (~100g),Raw Banana,Vegetables,90,source_value_available,India regional nutrition reference (NIN/IFCT-aligned),Expanded regional coverage pass: Vegetables,1.3,22.0,0.3,2.3,4
medium,Ash Gourd (Petha Sabzi),पेठा,vegetable,"lunch,dinner",1 cup chopped (~100g),Ash Gourd,Vegetables,13,source_value_available,India regional nutrition reference (NIN/IFCT-aligned),Expanded regional coverage pass: Vegetables,0.4,3.0,0.2,2.9,111
high,Button Mushroom,मशरूम,vegetable,"lunch,dinner",1 cup sliced (~70g),Mushroom,Vegetables,22,source_value_available,India regional nutrition reference (NIN/IFCT-aligned),Expanded regional coverage pass: Vegetables,3.1,3.3,0.3,1.0,5
medium,"Sweet Potato (Shakarkandi, boiled)",शकरकंद,vegetable,snack,1 medium (~130g),Sweet Potato,Vegetables,86,source_value_available,India regional nutrition reference (NIN/IFCT-aligned),Expanded regional coverage pass: Vegetables,1.6,20.1,0.1,3.0,6
medium,Green Gram Sprouts (Moong Sprouts),मूंग स्प्राउट्स,salad_vegetable,all_meals,1 cup (~100g),Moong Sprouts,Vegetables,30,source_value_available,India regional nutrition reference (NIN/IFCT-aligned),Expanded regional coverage pass: Vegetables,3.0,5.9,0.2,1.8,6
medium,Green Chilli,हरी मिर्च,vegetable,all_meals,5 pieces (~15g),Green Chilli,Vegetables,40,source_value_available,India regional nutrition reference (NIN/IFCT-aligned),Expanded regional coverage pass: Vegetables,1.9,9.0,0.4,3.7,7
medium,Bhindi Masala (light oil),भिंडी मसाला,indian_preparation,"lunch,dinner",1 katori (~150g),Okra masala,IndianPrep,95,source_value_available,India regional nutrition reference (NIN/IFCT-aligned),Expanded regional coverage pass: IndianPrep,2.4,9.0,5.5,3.4,260
